,0,1,2,3
MIMAT0019759,-4.4045521149592295,-5.717751797080396,-4.522967232919274,-4.013743196155265
MIMAT0005884,-3.965929368497231,-1.7330837438986193,-4.313526795375422,-4.752991061671558
MIMAT0018102,-3.75403244922913,-5.404695304573349,-5.291812493501009,-3.9872611093571417
MIMAT0019214,-2.1010163362129055,-2.615669419721894,-1.6360669904882679,-3.000504117972621
MIMAT0027637,-4.364202085595675,-3.2344424293243557,-3.6211402857490245,-3.6277551702260613
MIMAT0019018,-4.387026684431784,-3.5040235459306914,-5.290116077763271,-4.121044116128502
MIMAT0004512,-3.9922630875188574,-4.302696108967574,-4.024873018086406,-4.541656944490732
MIMAT0027454,-4.120819188120001,-5.395183304635992,-4.59366071682771,-3.675207793370742
MIMAT0027368,-3.0207146888349397,-3.1407092699751096,-3.461777297675507,-3.7742638690474566
MIMAT0015031,-3.8909575743939824,-4.742989157408578,-3.7941200027213355,-4.540795312403286
MIMAT0018119,-2.067976805811487,-2.6102106836043815,-2.26397230338004,-1.6752748343919972
MIMAT0005875,-2.3643406507720806,-1.822296001461129,-2.167457766974566,-2.298340537133739
MIMAT0002881,-0.7452708804705521,0.003499814163706294,-1.2927049602397696,-0.7623127322829375
MIMAT0000262,-0.10219203068202659,-0.3695164642077208,0.24971841538412923,-0.5795587388481535
MIMAT0018960,-4.102076359439694,-4.093263759525451,-4.5564626929400625,-4.214502540610572
MIMAT0004676,-2.163843620628814,-1.5540588205374242,-2.8704181389024805,-2.8662375746899995
MIMAT0004952,-4.249335702784803,-5.230122120524885,-5.1969035535866395,-4.783787447369707
MIMAT0018204,-1.962806467315273,-5.303451657133757,-3.1443398587689924,-1.709374221610951
MIMAT0022271,-3.175386383957077,-4.418255107364587,-4.377188257995421,-3.2265185969123733
MIMAT0000735,-3.9229469144992817,-4.533311599494995,-4.64773698248872,-4.738441140039619
MIMAT0027505,-3.0982200784078446,-1.93660173730323,-4.084977042779066,-3.6585905686653963
MIMAT0022925,-1.780320263345044,-0.7010152702395034,-2.3586256901700535,-2.0036798397561904
MIMAT0019865,-3.483585074661425,-2.1671011641673683,-4.166811466637109,-2.648069040546824
MIMAT0004947,-4.479710230222453,-5.377744509768563,-4.441058023524619,-5.066261450849905
MIMAT0015008,-4.042125221399801,-3.6072072068006675,-4.228925325359729,-4.421731403560191
MIMAT0026606,-2.4508926706249654,-1.2126072328697257,-1.8642271511474586,-2.4502351837923353
MIMAT0015009,-3.812440534670786,-3.1329951906815197,-2.7739533696273666,-3.5111942263027087
MIMAT0019699,-4.218926385369896,-4.752696431069423,-4.554219565991923,-4.609700601007115
MIMAT0019219,-4.45621113364406,-3.604566738133606,-4.577679925450936,-4.1742345022901945
MIMAT0004762,-1.8058758912196267,0.007477596980433483,-1.6586877791823542,-1.330269925144164
